,date,High_price,Low_price,Close_price,Open_price,group_volume,group_turnover,trading_session,return,y1,y2,target1,target2,group_time,volume_spike,price_jump_probability,trade_continuation,relative_volatility_index,MFI,RSI,SRSI,PVI,VHF,CVI,CMO,VIDYA,UI,ACD,TS,MACD,VMACD,TMACD,QST,DDI,KVO,KVO_signal
0,2023/6/12 9:20,3820.4,3820.4,3820.4,3820.4,0,0.0,Day_morning,,0,0,0,0,10,,,,0.0,100.0,,0.0,1000.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
1,2023/6/12 9:30,3826.6,3813.0,3821.4,3817.8,6776,7764448140.0,Day_morning,0.0002617526960526,1,1,1,1,10,,,1.0,0.0,0.0,,0.0,1000.2617526960527,,0.0,,,0.0,0.0,,0.12763532763565308,864.8569800569803,0.0,,,-2.134346033244583e-09,-3.0490657617779753e-10
2,2023/6/12 9:40,3823.8,3815.8,3817.6,3822.0,2804,3213296340.0,Day_morning,-0.0009944,0,0,1,1,10,,,1.0,0.0,0.0,,0.0,1000.2617526960527,,0.0,,,0.0,0.0,,-0.28436132823597293,852.6566427220561,0.0,,,-7566.3492063513295,-1080.9070294790226
3,2023/6/12 9:50,3825.8,3817.4,3822.0,3822.8,2445,2802857460.0,Day_morning,0.0011525565800503,1,1,0,0,10,,,1.0,0.0,20.340148433349768,,0.0,1000.2617526960527,,0.0,,,0.0,0.0,,0.034266492129041586,750.5763938958668,0.0,,,-1752.2613793501096,-1176.814793746321
4,2023/6/12 10:00,3828.2,3818.0,3822.8,3821.4,2597,2978390580.0,Day_morning,0.0002093144950288,1,1,1,1,10,,,1.0,0.0,34.49661493735883,,0.0,1000.4711219797149,,0.0,,,0.0,0.0,,0.3345673030467704,661.0233101272468,0.0,,,5287.995398025932,-253.2704806359991
5,2023/6/12 10:10,3831.8,3819.2,3821.6,3826.6,2461,2824541940.0,Day_morning,-0.000313906,0,0,1,1,10,,,1.0,0.0,43.94031135261265,,0.0,1000.4711219797149,,0.0,,,0.0,0.0,,0.3516056329336285,545.7509511617784,0.0,,,11972.974622465787,1493.335962664256
6,2023/6/12 10:20,3831.0,3824.4,3826.6,3831.0,1877,2155122900.0,Day_morning,0.0013083525225037,1,1,0,0,10,,,1.0,0.0,49.49801138525765,,0.0,1000.4711219797149,,0.0,,,0.0,0.0,,0.9807450009881464,361.97651271120617,0.0,,,17754.48965498696,3816.3579187103564
7,2023/6/12 10:30,3831.4,3819.6,3831.0,3821.6,2410,2764975200.0,Day_morning,0.0011498458161292,1,1,1,1,10,,,1.0,0.0,49.49801138525765,,0.0,1001.6215095134813,,0.0,,,0.0,0.0,,1.8817404032980642,286.6437009574961,0.0,,,12384.835911335907,5040.426203371149
8,2023/6/12 10:40,3824.6,3819.4,3821.4,3823.8,1820,2086781160.0,Day_morning,-0.002505873,0,0,0,0,10,,,1.0,0.0,45.16285659702395,,0.0,1001.6215095134813,,0.0,,,0.0,0.0,,1.1147147794291385,139.2412785166407,0.0,,,5101.016952488388,5049.082024673612
9,2023/6/12 10:50,3825.0,3819.2,3823.0,3821.8,1420,1628074860.0,Day_morning,0.0004186947192128,1,1,1,1,10,,,1.0,49.999999999856534,48.67090515394636,,0.0,1001.6215095134813,,0.0,,,0.0,0.0,,0.7693896509918683,-21.672547915877203,0.0,,,7426.516485005708,5388.715519006769
10,2023/6/12 11:00,3824.0,3817.4,3821.8,3821.8,1224,1403027940.0,Day_morning,-0.00031389,0,0,0,0,10,,,0.0,49.99999999992386,46.128184277360994,,0.0,1001.6215095134813,,0.0,,,0.0,0.0,,0.3473482252244702,-156.53268897367934,0.0,,,4195.142866660317,5218.205140100133
11,2023/6/12 11:10,3824.0,3820.2,3822.2,3822.8,1232,1412758140.0,Day_morning,0.0001046627243705,1,1,1,1,10,,,1.0,49.9999999999464,48.820204512445216,,0.0,1001.7263419494552,,0.0,,,0.0,0.0,,0.10277146681158178,-241.59891684321929,0.0,,,7053.078997691595,5480.329976898914
12,2023/6/12 11:20,3826.8,3821.0,3821.4,3826.6,1594,1829062560.0,Day_morning,-0.000209304,0,0,1,1,10,,,1.0,49.999999999956046,51.92894189468064,,0.0,1001.5166770775073,,0.0,,,0.0,0.0,,-0.17114938846867211,-245.26241357973413,0.0,,,10671.913063911943,6221.984703615061
13,2023/6/12 11:30,3826.6,3826.6,3826.6,3826.6,0,0.0,Day_morning,0.0013607578374417,1,1,0,0,10,,,,49.99999999996251,51.92894189468064,,0.0,1001.5166770775073,,0.0,,,0.0,0.0,,0.31709887857864905,-446.8079071251349,0.0,,,9554.71003388959,6698.088322225709
14,2023/6/12 13:30,3850.4,3840.8,3848.2,3842.6,3296,3802066740.0,Day_afternoon,0.0056446976428159,1,1,1,1,10,,,1.0,49.99999999997496,57.322037891635865,72.78688524590159,0.0,1007.1699359038475,,0.0,,,0.0,0.0,,3.3499618456123823,-136.66153711218578,0.0,,,17389.102422305623,8225.376050808554
15,2023/6/12 13:40,3849.6,3840.4,3842.6,3847.8,2311,2666403180.0,Day_afternoon,-0.001455226,0,0,1,1,10,,,1.0,49.99999999998157,53.14406173891836,66.23823731925637,0.0,1007.1699359038475,,0.0,,,0.0,0.0,,4.339436168565418,-68.15036366821596,0.0,,,10549.373958999378,8557.375751978672
16,2023/6/12 13:50,3853.8,3847.0,3848.0,3849.8,2142,2474402580.0,Day_afternoon,0.0014052984958101,1,1,1,1,10,,,1.0,49.999999999985846,56.11305260329728,69.12308462370633,0.0,1007.1699359038475,,0.0,,,0.0,0.0,,5.3903823485680995,-50.37716328866156,0.0,,,14645.282773371888,9427.076755034846
17,2023/6/12 14:00,3854.8,3848.0,3849.2,3852.6,1675,1935520920.0,Day_afternoon,0.0003118503118502,1,1,1,1,10,,,1.0,49.99999999998865,58.1855149096144,69.74183080917193,0.0,1007.1699359038475,,0.0,,,0.0,0.0,,5.876411414497945,-103.25774989065837,0.0,,,18098.421848190505,10665.84033977137
18,2023/6/12 14:10,3855.0,3849.4,3852.6,3854.2,1496,1729113900.0,Day_afternoon,0.0008833004260626,1,1,0,0,10,,,1.0,49.99999999999052,59.87842522883346,71.4853586812733,0.0,1007.1699359038475,,0.0,,,0.0,0.0,,6.250287121337243,-160.6563539928028,0.0,,,21310.63319679605,12186.525033632039
19,2023/6/12 14:20,3855.2,3848.6,3854.4,3850.8,1375,1588964100.0,Day_afternoon,0.0004672169444013,1,1,0,0,10,,,1.0,49.9999999999918,61.317993893423186,72.39233145679378,0.0,1007.1699359038475,,0.0,,3830.7400000000002,0.0,0.0,6.0,6.3158059002481455,-210.1088169307269,0.0,-0.5000000000000682,,23822.061656269878,13848.74455115173
20,2023/6/12 14:30,3850.8,3842.0,3850.8,3843.0,2288,2639309100.0,Day_afternoon,-0.000933998,0,0,0,0,10,1.1173238920766695,,1.0,49.999999999992596,57.8674080925523,67.75085854600614,0.0,1006.2292416922312,0.5146341463414641,100.0,37.07317073170764,3832.0493751451804,0.0,76606.8,6.0,5.480992159510862,-119.53460343636993,0.0,-0.11000000000005912,28.85906040268393,17072.713323696735,14309.311518658162
21,2023/6/12 14:40,3845.0,3838.0,3843.0,3838.0,2590,2984543640.0,Day_afternoon,-0.002025553,0,0,0,0,10,1.1978817380847766,,1.0,49.99999999999302,64.43025952614094,58.93413973451532,0.0,1004.1910709003959,0.44369369369369094,79.1757258059166,24.597432905484208,3832.6990988335715,0.0,76644.6,4.0,3.5770690876606963,-23.655173504534332,0.0,-0.04000000000005457,31.207289293848866,7472.6727206661635,13332.648833230734
22,2023/6/12 14:50,3838.2,3832.2,3837.4,3833.6,4518,5197488960.0,Day_afternoon,-0.001457195,0,0,0,0,10,2.313541746677932,,1.0,49.999999999993136,61.53044997458846,53.546468026969926,0.0,1002.7277687934371,0.41721854304635714,68.80440330589225,16.578750790093736,3832.960063207652,0.0,76663.8,4.0,1.3755006494488207,278.1122628213261,0.0,0.3699999999999591,25.490196078430678,-8911.640488799923,10154.893215797785
23,2023/6/12 15:00,3833.6,3833.6,3833.6,3833.6,0,0.0,Day_afternoon,-0.000990254,0,0,0,0,10,0.0,,,49.99999999999308,58.92167327268156,50.193264809282944,0.0,1002.7277687934371,0.4199999999999991,54.54043465850721,11.455254628357787,3832.99402716867,0.0,76683.8,2.0,-0.6706077370709558,-130.26403085841775,0.0,0.40999999999996817,17.796610169491053,-8517.690862393105,7487.381204627658
24,2023/6/13 9:20,3829.0,3829.0,3829.0,3829.0,0,0.0,Day_morning,-0.001199917,0,0,1,1,10,0.0,,,49.99999999999319,55.731995989522744,46.40489991607799,0.0,1002.7277687934371,0.4029850746268659,35.396687263333106,5.544624711227302,3832.793289978859,0.0,76699.40000000001,0.0,-2.612596203722253,-385.38358827844354,0.0,0.3399999999999636,10.14492753623194,-8142.135251318349,5254.593139492515
25,2023/6/13 9:30,3847.4,3829.0,3829.0,3846.2,6333,7294926600.0,Day_morning,0.0,0,0,0,0,10,3.5450194519857816,,1.0,49.999999999992475,60.34570322892948,46.40489991607799,0.0,1002.7277687934371,0.40820734341252846,34.32623892450542,5.5446247112273,3832.602641708745,0.0,72867.6,1.0,-3.794444934986716,278.1218933450896,0.0,-0.2700000000000273,22.0825852782762,-7784.069618694177,3391.92703118013
26,2023/6/13 9:40,3846.2,3840.0,3846.0,3842.6,3311,3817372200.0,Day_morning,0.0044398015147557,1,1,0,0,10,1.6721799954546603,,1.0,49.99999999999279,61.828247672280405,59.5048542340583,0.0,1002.7277687934371,0.3613766730401538,30.522290012632407,22.39682424616387,3833.3834960459535,0.0,72875.0,1.0,-2.2594494657144573,287.95931289749456,0.0,0.11999999999998182,25.938566552900546,3171.0222014670217,3360.369198363972
27,2023/6/13 9:50,3846.6,3840.0,3842.8,3842.2,2245,2587879440.0,Day_morning,-0.000832033,0,0,0,0,10,1.0941878883879614,,1.0,49.99999999999302,58.42857576000912,56.69566935410586,39.00680448940527,1002.7277687934371,0.3655705996131547,19.711402835179275,18.217657348159662,3833.9135898735044,0.0,72902.0,-1.0,-1.6751395603862456,136.57294434240407,0.0,-0.32000000000000456,31.560283687943006,-2149.296649036596,2573.274077306748
28,2023/6/13 10:00,3849.0,3840.4,3842.4,3842.0,2237,2579713680.0,Day_morning,-0.000104091,0,0,0,0,10,1.0946904820161487,,1.0,49.99999999999315,63.246365276739574,56.33763783880301,38.221314434875616,1002.7277687934371,0.4012738853503202,22.182949786627393,17.68891810633048,3834.3891881717873,0.0,72920.0,-1.0,-1.3561345401789406,26.797451691277956,0.0,-0.17999999999999544,41.32841328413279,1841.160444277084,2468.686415445368
29,2023/6/13 10:10,3842.8,3833.0,3841.4,3833.0,2614,3009571140.0,Day_morning,-0.000260254,0,0,1,1,10,1.266258144210042,0.4,1.0,49.999999999993136,58.13369363595751,55.395806896552756,34.59713579769617,1002.4668048727642,0.40384615384615524,24.711835841357694,16.31983635748465,3834.7775198311165,0.0,72943.6,-3.0,-1.293630544089977,-2.0640130330695,0.0,0.1800000000000182,32.062391681109034,-3933.4949453840654,1554.0890781840203
30,2023/6/13 10:20,3836.6,3829.2,3833.0,3836.2,2710,3116139540.0,Day_morning,-0.002186703,0,0,1,1,10,1.2758645041312586,0.43333333333333335,1.0,49.99999999999304,56.16794475891678,48.11879575194844,6.595095145071214,1000.2747079391121,0.3472222222222247,23.297488916280255,5.471013668820103,3834.688245155686,0.0,72961.0,-3.0,-2.336725962245053,-14.557989708283458,0.0,0.020000000000027284,27.21202003338827,-12222.628270853947,-414.0134002499749
31,2023/6/13 10:30,3847.6,3834.6,3836.4,3843.6,3266,3764380440.0,Day_morning,0.0008870336551005,1,1,0,0,10,1.4856596993199445,0.43333333333333335,1.0,49.99999999999292,58.11048125243811,50.928678607700526,17.40756366990293,1001.1619852694,0.3294797687861263,31.128654561643003,9.08383082410748,3834.7771617156145,0.0,72973.79999999999,-3.0,-2.5066861515388146,42.607244252969394,0.0,-0.30999999999994543,31.874999999999453,-6373.577381864805,-1265.3796833378078
32,2023/6/13 10:40,3844.4,3840.8,3843.6,3843.6,2347,2705532300.0,Day_morning,0.0018767594619955,1,1,1,1,10,1.0204125997260929,0.4666666666666667,0.0,49.99999999999285,58.792688720135736,56.32335833800003,38.166366716088504,1001.1619852694,0.25952813067150593,26.69520431893332,16.221304954580493,3835.2654482769544,0.0,72983.40000000001,-1.0,-1.6297450110498168,-47.922392897648365,0.0,-0.049999999999954525,33.63774733637697,2429.682248777197,-737.5136930356643
33,2023/6/13 10:50,3847.8,3841.8,3843.6,3844.8,1819,2098153200.0,Day_morning,0.0,0,0,0,0,10,0.7781152414766651,0.43333333333333335,1.0,49.99999999999211,60.336789107966275,56.32335833800003,46.46527520209769,1001.1619852694,0.2495238095238078,32.657674254852374,16.22130495458049,3835.7267113614607,0.0,69162.0,-2.0,-1.0578569429920748,-176.26396283094982,0.0,-0.10999999999996816,32.50773993808009,8115.289357353133,527.1724570198779
34,2023/6/13 11:00,3845.8,3840.2,3845.4,3844.2,1602,1846885260.0,Day_morning,0.0004683109584764,1,1,0,0,10,0.6596257179914767,0.43333333333333335,1.0,49.99999999999201,55.48178975336298,57.672537192996444,86.01279823894566,1001.1619852694,0.30751173708919877,24.60022171867643,18.004449314021308,3836.270278551388,0.0,69175.6,-2.0,-0.4749948887047939,-281.4811144028638,0.0,-0.32999999999995,15.083798882681194,3480.185743551603,949.0314979529815
35,2023/6/13 11:10,3846.0,3839.2,3844.6,3844.4,1386,1597767600.0,Day_morning,-0.000208041,0,0,1,1,10,0.5913095415857847,0.43333333333333335,1.0,49.99999999999176,56.59969397420886,56.832269906151666,79.59852177317607,1001.1619852694,0.3258706467661647,18.963204672361982,16.841014358804916,3836.733732410142,0.0,69172.0,-2.0,-0.24657838688733147,-365.91948386665626,0.0,-0.05999999999994543,14.869888475836262,-934.6282884425073,679.937242753626
36,2023/6/13 11:20,3848.8,3842.0,3843.8,3846.8,1686,1945545180.0,Day_morning,-0.000208084,0,0,0,0,10,0.7337772555163861,0.4,1.0,49.99999999999147,56.161817770461965,55.954326036530944,72.89663680235826,1000.953659412818,0.3456464379947197,17.17645839970579,15.640875518262046,3837.122851158112,0.0,69178.2,-4.0,-0.2517334590512261,-366.21388282043773,0.0,-0.11999999999993634,11.753371868978888,2411.0420284883694,927.237926430018
37,2023/6/13 11:30,3846.8,3846.8,3846.8,3846.8,0,0.0,Day_morning,0.0007804776523232,1,1,1,1,10,0.0,0.36666666666666664,,49.99999999999123,54.48208053919858,58.54080283726958,92.6408033693254,1000.953659412818,0.3376288659793775,6.762475838251669,18.927989605759148,3837.6708910899606,0.0,69174.0,-4.0,0.08257156513493324,-566.4021234858761,0.0,0.05000000000006821,14.869888475836618,1835.0932206599682,1056.9315398914396
38,2023/6/13 13:30,3847.6,3842.6,3843.6,3847.4,1138,1312692000.0,Day_afternoon,-0.00083186,0,0,1,1,10,0.5193619788695434,0.3333333333333333,1.0,49.99999999999102,51.48289056559064,54.84143477361507,64.40125402542462,1000.1210058539843,0.33850129198965934,5.298443533577536,13.94287655632451,3837.9925957207347,0.3738169449872027,69172.4,-6.0,-0.179408449140813,-519.6526429249091,0.0,-0.05999999999994543,9.420289855072376,1307.704879621826,1092.7563027100662
39,2023/6/13 13:40,3850.2,3844.8,3847.2,3849.6,1197,1381468500.0,Day_afternoon,0.0009366219169528,1,1,0,0,10,0.5507879903370528,0.3333333333333333,1.0,49.99999999999086,51.28089295067058,58.0529329171174,87.2482534739989,1001.0577411076721,0.2752525252525266,2.953502411161296,18.012618456854405,3838.510019477014,0.37440098818004786,69167.4,-6.0,0.06693418775351656,-457.11219272910694,0.0,-0.3599999999999454,12.299465240641695,3291.8893787507004,1406.9181707158712
40,2023/6/13 13:50,3850.6,3844.6,3849.6,3848.0,1464,1689774000.0,Day_afternoon,0.0006238303181533,1,1,1,1,10,0.6764155520133066,0.3333333333333333,1.0,49.999999999990536,55.732386697913434,60.09061309445492,100.0,1001.6822312767972,0.27692307692307416,-1.7468867009713824,20.646118633621843,3839.1471447655,0.3738180363177648,69157.59999999999,-4.0,0.4656549767509075,-360.36274313089854,0.0,-0.6699999999999591,19.622641509433805,6601.628566084466,2149.0196557685276
41,2023/6/13 14:00,3856.0,3848.0,3848.4,3856.0,1920,2218433460.0,Day_afternoon,-0.000311721,0,0,0,0,10,0.9043166992440477,0.3333333333333333,1.0,49.999999999989974,61.22615575089928,58.55888421458451,87.20554418724765,1001.3699861922346,0.3781512605042012,-0.0016746801933133358,18.640421220352145,3839.6698888809815,0.3679872775587853,69162.8,-4.0,0.4784333354461596,-222.29910495597565,0.0,-1.2999999999999545,30.303030303030233,11149.180513189,3434.7569211143095
42,2023/6/13 14:10,3857.0,3850.0,3856.2,3854.0,2043,2362005480.0,Day_afternoon,0.0020268163392578,1,1,1,1,10,0.9776756873160577,0.36666666666666664,1.0,49.999999999989754,70.27131654865894,64.83368776430162,100.0,1003.3995792418914,0.3804347826086961,1.511646742711877,26.949708332315186,3840.6691711596764,0.3545252997534386,69168.2,-2.0,1.3962680954651354,-107.57395729836473,0.0,-1.3799999999999728,40.47619047619048,16534.11136891172,5306.0932707996535
43,2023/6/13 14:20,3861.0,3852.2,3854.0,3858.4,2848,3296481240.0,Day_afternoon,-0.00057051,0,0,1,1,10,1.4487003408108245,0.3333333333333333,1.0,49.99999999998963,72.2858749435538,61.98297241517263,82.94505673729657,1002.8271299201933,0.44444444444444725,14.146916937466566,23.21361057824395,3841.4513328517796,0.3336018588582958,69191.8,-2.0,1.5537246054311726,73.80147108611206,0.0,-1.5999999999999772,49.30139720558856,24126.272674711217,7994.690328501306
44,2023/6/13 14:30,3867.4,3858.4,3858.6,3865.6,4368,5062764000.0,Day_afternoon,0.0011935651271406,1,1,0,0,10,2.071811412038135,0.3333333333333333,1.0,49.999999999989726,74.89858018249036,65.40788921892721,100.0,1004.0240694110166,0.533333333333338,25.02039180749422,27.88477376256415,3842.4956440034844,0.29929416675514714,69212.2,0.0,2.090715604058097,378.53505531323094,0.0,-1.9499999999999773,59.21568627450929,36741.497614084845,12101.37708358467
45,2023/6/13 14:40,3865.8,3861.2,3865.6,3862.8,1964,2276311380.0,Day_afternoon,0.0018141294770124,1,1,0,0,10,0.8441139811750549,0.3333333333333333,1.0,49.999999999990166,72.31462437715761,69.8579821709621,100.0,1004.0240694110166,0.4835443037974746,3.3187433800917514,34.28804345312602,3843.973091033016,0.2605068065782646,73070.8,1.0,3.139001134444408,242.9087201424909,0.0,-0.95,51.851851851851194,40537.9232594277,16163.740822990818
