S_INFO_WINDCODE,date,S_DQ_PRECLOSE,Open_price,High_price,Low_price,Close_price,S_DQ_CHANGE,S_DQ_PCTCHANGE,group_volume,group_turnover,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPMODE,group_time,return,y1,volume_spike,price_jump_probability,trade_continuation,relative_volatility_index,MFI,RSI,SRSI,PVI,VHF,CVI,CMO,VIDYA,UI,ACD,TS,MACD,VMACD,TMACD,QST,DDI,KVO,KVO_signal
002594.SZ,20180102,65.05,65.28,66.55,64.96,65.85,0.8,1.2298,127140.77,837153.614,65.84,66.08,67.36,65.75,66.65,1.012204,65.8446,-1,71.56,58.55,65.02,1,1,,0,,,1.0,0.0,100.0,,0.0,1000.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
002594.SZ,20180103,65.85,64.98,67.1,64.4,66.12,0.27,0.41,151909.5,1000075.488,66.65,65.77,67.92,65.19,66.93,1.012204,65.8336,-1,72.44,59.27,65.28,1,1,0.004100227790432953,1,,,1.0,0.0,100.0,,0.0,1004.100227790433,,0.0,,,0.0,0.0,,0.034461538461550846,3161.364968660986,0.0,,,241294.81019024935,34470.68717003562
002594.SZ,20180104,66.12,66.0,66.36,64.91,65.05,-1.07,-1.6183,118416.97,773631.609,66.93,66.81,67.17,65.7,65.84,1.012204,65.3311,-1,72.73,59.51,64.23,1,1,-0.01618269812462203,0,,,1.0,0.0,56.35723044397485,,0.0,1004.100227790433,,0.0,,,0.0,0.0,,-0.08239351303966941,695.087879507523,0.0,,,-111292.70514467196,13647.345410791682
002594.SZ,20180105,65.05,64.9,65.2,63.83,64.38,-0.67,-1.03,104870.0,673396.088,65.84,65.69,66.0,64.61,65.17,1.012204,64.2125,-1,71.56,58.55,63.56,1,1,-0.010299769408147585,0,,,1.0,0.0,40.81576552239509,,0.0,1004.100227790433,,0.0,,,0.0,0.0,,-0.23672321420967274,-2625.026066005989,0.0,,,-439347.17184359254,-51066.15705412035
002594.SZ,20180108,64.38,64.6,66.34,64.53,65.21,0.83,1.2892,136740.15,894169.179,65.17,65.39,67.15,65.32,66.01,1.012204,65.3919,-1,70.82,57.94,64.38,1,1,0.012892202547374998,1,,,1.0,0.0,56.62687060832323,,0.0,1017.0452913049726,,0.0,,,0.0,0.0,,-0.21445855029204286,-503.4505954196463,0.0,,,-146344.25363623624,-64677.31370870833
002594.SZ,20180109,65.21,65.2,66.18,64.7,65.42,0.21,0.322,94309.26,616396.032,66.01,66.0,66.99,65.49,66.22,1.012204,65.359,-1,71.73,58.69,64.59,1,1,0.003220364974697354,1,,,1.0,0.0,63.38150659235502,,0.0,1017.0452913049726,,0.0,,,0.0,0.0,,-0.16132021872930924,-4564.636232071157,0.0,,,143691.72709014337,-34910.307880300956
002594.SZ,20180110,65.42,65.6,65.97,64.88,65.67,0.25,0.3821,94265.04,615796.957,66.22,66.4,66.78,65.67,66.47,1.012204,65.3261,-1,71.96,58.88,64.84,1,1,0.0038214613268112707,1,,,1.0,0.0,68.31857036769838,,0.0,1017.0452913049726,,0.0,,,0.0,0.0,,-0.08614337504081462,-6867.722446763359,0.0,,,458688.9043513824,35603.8652956538
002594.SZ,20180111,65.67,65.98,65.98,64.88,65.4,-0.27,-0.4111,76298.68,498923.642,66.47,66.79,66.79,65.67,66.2,1.012204,65.3909,-1,72.24,59.1,64.57,1,1,-0.004111466423024179,0,,,1.0,0.0,61.604692081969915,,0.0,1017.0452913049726,,0.0,,,0.0,0.0,,-0.06726814547243579,-10219.97970094615,0.0,,,253982.48401368601,66800.81082680126
002594.SZ,20180112,65.4,65.66,67.85,65.62,67.08,1.68,2.5688,195978.8,1316801.695,66.2,66.46,68.68,66.42,67.9,1.012204,67.191,-1,71.94,58.86,66.23,1,1,0.025688073394495303,1,,,1.0,0.0,69.47761647163162,,0.0,1043.1712253935407,,0.0,,,0.0,0.0,,0.16437105898451454,3537.7408014231205,0.0,,,507546.4907979297,129764.47939410532
002594.SZ,20180115,67.08,67.25,68.1,64.88,65.14,-1.94,-2.8921,151890.34,1006209.959,67.9,68.07,68.93,65.67,65.93,1.012204,66.2458,-1,73.79,60.37,64.32,1,1,-0.028920691711389335,0,,,1.0,49.999999999274195,60.050079850301366,,0.0,1043.1712253935407,,0.0,,,0.0,0.0,,0.05480917018304607,6387.741852387136,0.0,,,193243.93492533936,138832.97304142447
002594.SZ,20180116,65.14,64.5,65.75,64.46,64.8,-0.34,-0.522,95919.73,622943.133,65.93,65.29,66.55,65.25,65.59,1.012204,64.9442,-1,71.65,58.63,63.98,1,1,-0.005219527172244498,0,,,1.0,49.99999999962561,55.37912407109624,,0.0,1043.1712253935407,,0.0,,,0.0,0.0,,-0.058775935424809855,720.4528403060431,0.0,,,-158958.8241429337,96291.2877293733
002594.SZ,20180117,64.8,64.68,64.68,62.51,63.75,-1.05,-1.6204,116525.06,738922.968,65.59,65.47,65.47,63.27,64.53,1.012204,63.4132,-1,71.28,58.32,62.94,1,1,-0.01620370370370361,0,,,1.0,49.99999999975447,50.689267060604664,,0.0,1026.2679879450343,,0.0,,,0.0,0.0,,-0.2594155168329433,-216.06678807099524,0.0,,,-524213.8788495753,7647.69250380923
002594.SZ,20180118,63.75,64.18,64.58,62.88,63.17,-0.58,-0.9098,73701.45,468859.834,64.53,64.96,65.37,63.65,63.94,1.012204,63.6161,-1,70.13,57.38,62.37,1,1,-0.009098039215686193,0,,,1.0,49.99999999982589,48.116173216794394,,0.0,1026.2679879450343,,0.0,,,0.0,0.0,,-0.4435214343227912,-6233.618989076267,0.0,,,-742714.1273871807,-99546.85319490361
002594.SZ,20180119,63.17,63.6,63.63,62.68,63.2,0.03,0.0475,52370.08,330860.117,63.94,64.38,64.41,63.44,63.97,1.012204,63.1773,-1,69.49,56.85,62.4,1,1,0.0004749089757796199,1,,,1.0,49.99999999986677,46.45054334348075,,0.0,1026.2679879450343,,0.0,,,0.0,0.0,,-0.5287448102419727,-12363.037168111307,0.0,,,-880599.9450731082,-211125.8663203614
002594.SZ,20180122,63.2,63.68,67.01,63.62,66.6,3.4,5.3797,172657.08,1134014.385,63.97,64.46,67.83,64.4,67.41,1.012204,65.6802,-1,69.52,56.88,65.76,1,1,0.05379746835443022,1,,,1.0,49.999999999892715,52.13568472850125,52.97855440826053,0.0,1081.478607549672,,0.0,,,0.0,0.0,,-0.11618680407953974,-137.57162902048094,0.0,,,-636195.2898109918,-271850.06967616576
002594.SZ,20180123,66.6,66.64,67.37,66.06,66.81,0.21,0.3153,123518.48,824929.033,67.41,67.45,68.19,66.87,67.63,1.012204,66.7859,-1,73.26,59.94,65.96,1,1,0.003153153153153232,1,,,1.0,49.99999999991056,55.56228415190273,53.8082948202389,0.0,1081.478607549672,,0.0,,,0.0,0.0,,0.17985207441288936,1327.1219139781479,0.0,,,-168033.57470054447,-257019.14182250557
002594.SZ,20180124,66.81,67.05,67.09,65.5,66.51,-0.3,-0.449,76416.5,506242.911,67.63,67.87,67.91,66.3,67.32,1.012204,66.2479,-1,73.49,60.13,65.67,1,1,-0.004490345756623215,0,,,1.0,49.999999999922906,53.218644056990826,52.38613224975619,0.0,1081.478607549672,,0.0,,,0.0,0.0,,0.32183623748884205,-3772.6897335150607,0.0,,,-296612.20212401904,-262675.2932941504
002594.SZ,20180125,66.51,66.52,67.47,65.56,65.64,-0.87,-1.3081,80839.89,535708.498,67.32,67.33,68.29,66.36,66.44,1.012204,66.2678,-1,73.16,59.86,64.81,1,1,-0.013080739738385305,0,,,1.0,49.999999999931504,50.950058722358335,48.39171260959792,0.0,1067.3320673516835,,0.0,,,0.0,0.0,,0.28633317839321815,-6134.609300687842,0.0,,,-473851.5280508548,-292843.32683082245
002594.SZ,20180126,65.64,65.64,66.3,65.0,65.5,-0.14,-0.2133,63558.66,416434.838,66.44,66.44,67.11,65.79,66.3,1.012204,65.5198,-1,72.2,59.08,64.67,1,1,-0.0021328458257160454,0,,,1.0,49.99999999993677,49.31288944428602,47.760608983316274,0.0,1067.3320673516835,,0.0,,,0.0,0.0,,0.2339668739041576,-9412.949696501546,0.0,,,-639583.2171108809,-342377.5968708308
002594.SZ,20180129,65.5,65.88,65.88,62.8,62.9,-2.6,-3.9695,125219.38,800199.75,66.3,66.68,66.68,63.57,63.67,1.012204,63.9038,-1,72.05,58.95,62.1,1,1,-0.03969465648854964,0,,,1.0,49.99999999994198,46.45029846798591,37.88025376326758,0.0,1024.964687578945,,0.0,,65.21000000000001,0.0,0.0,-4.0,-0.1407400217048071,-2996.593224112483,0.0,-0.18100000000000058,,-931316.8579886707,-426511.77703052224
002594.SZ,20180130,62.9,62.88,63.95,62.76,63.45,0.55,0.8744,55877.07,354826.318,63.67,63.65,64.73,63.53,64.22,1.012204,63.5012,-1,69.19,56.61,62.65,1,1,0.008744038155802825,1,0.5005681809477935,,1.0,49.99999999994637,45.28592273766528,40.67605782050338,0.0,1024.964687578945,0.3238702201622242,11.750270035182375,-13.904982618771658,65.13784417590907,0.0,1305.97,-2.0,-0.295468943381598,-7553.929394196544,0.0,-0.18100000000000022,-19.604612850082276,-1049878.3809379195,-515564.1490172933
002594.SZ,20180131,63.45,63.05,63.96,62.9,63.04,-0.41,-0.6462,54297.88,343948.048,64.22,63.82,64.74,63.67,63.81,1.012204,63.3447,-1,69.8,57.11,62.24,1,1,-0.006461780929866046,0,0.5024599009776659,,1.0,49.99999999995012,40.066693497157054,39.257630803175516,0.0,1024.964687578945,0.3212643678160915,2.042229338001885,-16.005235913607372,65.05393563941121,0.0,1305.53,-4.0,-0.4260652679682648,-10084.275468266893,0.0,-0.23850000000000016,-17.015926236378824,-1154654.2221010537,-606862.730886402
002594.SZ,20180201,63.04,63.05,63.49,59.88,60.66,-2.38,-3.7754,126983.9,773267.406,63.81,63.82,64.26,60.61,61.4,1.012204,60.8949,-1,69.34,56.74,59.89,1,1,-0.037753807106599035,0,1.2306606117594838,,1.0,49.999999999954674,40.054679591555605,32.231364392367254,0.0,986.2683684730139,0.43933725280598546,12.444930312910778,-26.90136891476096,64.90098769640284,0.0,1302.66,-4.0,-0.7851601796016516,-1709.649983190444,0.0,-0.31050000000000005,-24.254016832440655,-1450091.9385423753,-727324.0462658268
002594.SZ,20180202,60.66,60.6,62.27,60.16,61.9,1.24,2.0442,69721.02,428724.465,61.4,61.34,63.03,60.89,62.66,1.012204,61.4914,-1,66.73,54.59,61.12,1,1,0.020441806791955175,1,0.6729057104233467,,1.0,49.99999999995855,44.04298667395297,38.41578925789592,0.0,986.2683684730139,0.4263485477178417,14.801924305340568,-18.472689213196958,64.78448176469236,0.0,1297.62,-2.0,-0.8048198052878699,-3521.1850847993555,0.0,-0.21949999999999967,-24.427480916030504,-1113481.6109701102,-782489.4126521529
002594.SZ,20180205,61.9,60.3,61.78,60.24,61.47,-0.43,-0.6947,40610.4,248908.792,62.66,61.04,62.53,60.98,62.22,1.012204,61.2919,-1,68.09,55.71,60.69,1,1,-0.006946688206785123,0,0.39871022782540444,,1.0,49.99999999996153,39.19932029244253,37.14971968812422,0.0,986.2683684730139,0.43538135593220273,12.295390035703083,-20.402504801367893,64.65885107595376,0.0,1295.14,-4.0,-0.8220140296486473,-8020.996218127144,0.0,-0.19149999999999956,-31.428571428571402,-1094361.733257717,-827042.6013100906
002594.SZ,20180206,61.47,60.0,60.88,58.5,58.51,-2.96,-4.8154,103985.63,617879.621,62.22,60.73,61.62,59.21,59.22,1.012204,59.4197,-1,67.62,55.32,57.77,1,1,-0.048153570847567884,0,1.0714873016102817,,1.0,49.999999999964565,34.29666438268683,29.855483010260343,0.0,938.7760247170335,0.4438280166435503,15.279413138679438,-32.05616612013062,64.45990987783154,0.0,1291.91,-6.0,-1.1578054812357592,-2147.1359131370446,0.0,-0.2769999999999996,-36.65191740412978,-1243889.4034442785,-886592.1444721175
