S_INFO_WINDCODE,date,S_DQ_PRECLOSE,Open_price,High_price,Low_price,Close_price,S_DQ_CHANGE,S_DQ_PCTCHANGE,group_volume,group_turnover,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPMODE,group_time,return,y1,volume_spike,price_jump_probability,trade_continuation,relative_volatility_index,MFI,RSI,SRSI,PVI,VHF,CVI,CMO,VIDYA,UI,ACD,TS,MACD,VMACD,TMACD,QST,DDI,KVO,KVO_signal
000014.SZ,20180207,9.61,9.82,9.98,9.2,9.61,0.0,0.0,44092.88,42690.346,51.68,52.81,53.67,49.47,51.68,5.377429,9.6819,-1,10.57,8.65,7.8,1,1,0.0,0,0.4348739478289991,,1.0,49.999999999913356,50.702041696268765,36.089015481563294,0.0,1085.9052540662203,0.6225806451612904,42.412599249914635,-14.24549284447821,12.339533778092274,0.0,243.07000000000002,-5.0,-0.9397553371592149,-15434.456554366896,0.0,-0.0019999999999999575,-36.66666666666666,-940563.4085683075,-335952.4988882581
000014.SZ,20180208,9.61,9.59,9.91,9.55,9.84,0.23,2.3933,23288.78,22792.665,51.68,51.57,53.29,51.35,52.91,5.377429,9.787,-1,10.57,8.65,7.98,1,1,0.02393340270551514,1,0.24125580337879618,,1.0,49.99999999992269,54.12352129547831,38.41299101618586,7.59208816910788,1085.9052540662203,0.6219119226638025,40.109202687137696,-11.415658592938534,12.234095895446082,0.0,239.89,-3.0,-0.887671770434442,-16024.872098450054,0.0,0.01250000000000009,-31.518151815181483,-802144.3706538741,-402551.3377119175
000014.SZ,20180209,9.84,9.6,9.61,8.87,9.17,-0.67,-6.8089,34712.81,32093.7,52.91,51.62,51.68,47.7,49.31,5.377429,9.2455,-1,10.82,8.86,7.44,1,1,-0.06808943089430897,0,0.37691819925820774,,1.0,49.99999999992958,45.591114763312646,34.479739895357326,0.0,1011.9665833117114,0.7010309278350516,27.642867641825116,-17.668953631796576,12.113967218662943,0.0,237.4,-5.0,-0.8916910617415236,-13974.85102253384,0.0,-0.07599999999999989,-47.485080988917275,-791637.5166186389,-458135.0775557349
000014.SZ,20180212,9.17,9.23,10.09,9.23,10.09,0.92,10.0327,24037.9,23423.171,49.31,49.63,54.26,49.63,54.26,5.377429,9.7443,-1,10.09,8.25,8.19,1,1,0.1003271537622683,1,0.2980099323957354,0.9333333333333333,1.0,49.99999999993364,36.18499859004073,43.095918211385516,28.705002293764963,1011.9665833117114,0.6381647549530762,22.5601728725507,-6.774421012229462,12.024116973038124,0.0,233.17000000000002,-5.0,-0.7256913244376775,-13166.07485425004,0.0,-0.028999999999999915,-55.29622980251342,-684134.6207729707,-490420.72658676864
000014.SZ,20180213,10.09,10.64,10.64,10.01,10.03,-0.06,-0.5946,49269.66,50508.115,54.26,57.22,57.22,53.83,53.94,5.377429,10.2514,-1,11.1,9.08,8.14,1,1,-0.00594648166501488,0,0.704350301626124,0.9666666666666667,1.0,49.99999999993474,25.27616085925831,42.70152398657948,32.147563102425444,1005.9489425784406,0.6237288135593221,3.7702871000513833,-7.363223941763382,11.936150988530859,0.0,230.79,-7.0,-0.5852575581094366,-8564.716592781471,0.0,-0.13949999999999996,-52.28873239436618,-481143.2644177205,-489095.37484833325
000014.SZ,20180214,10.03,9.86,10.58,9.82,10.34,0.31,3.0907,38207.5,39236.62,53.94,53.02,56.89,52.81,55.6,5.377429,10.2694,-1,11.03,9.03,8.39,1,1,0.030907278165503538,1,0.6211322850987353,0.9666666666666667,1.0,49.99999999993346,31.21524434076524,45.477801618134094,43.00293942464498,1005.9489425784406,0.648681055155875,2.5209748900419604,-3.7978104507921926,11.863030407603333,0.0,225.99,-5.0,-0.41965082559482036,-6440.317802071171,0.0,-0.0955,-50.5022831050228,-324981.48683780426,-465650.533703972
000014.SZ,20180222,10.34,10.42,10.98,10.26,10.72,0.38,3.675,39107.56,41283.123,55.6,56.03,59.04,55.17,57.65,5.377429,10.5563,-1,11.37,9.31,8.7,1,1,0.03675048355899424,1,0.6965032163768362,0.9666666666666667,1.0,49.999999999931674,35.87742096624743,48.75553321457997,58.51358349533169,1042.918052653857,0.627610208816705,6.23188746037346,0.46718849862622286,11.808346097403168,0.0,222.65,-5.0,-0.23705660207391643,-4438.31306000541,0.0,-0.08499999999999996,-42.7792915531335,-169386.84349102934,-423327.14938783733
000014.SZ,20180223,10.72,10.61,10.97,10.58,10.64,-0.08,-0.7463,38111.61,40920.074,57.65,57.05,58.99,56.89,57.22,5.377429,10.7369,-1,11.79,9.65,8.63,1,1,-0.007462686567164201,0,0.7001290775158489,0.9666666666666667,1.0,49.99999999992976,41.856669351439216,48.09993823163468,55.826432531746676,1042.918052653857,0.6108374384236451,-1.952721917827713,-0.43938101252774703,11.752955020903617,0.0,219.34,-5.0,-0.11155878997677982,-2849.8529775060306,0.0,-0.04999999999999991,-37.080689029918396,-14855.303969932662,-364974.028613851
000014.SZ,20180226,10.64,10.58,10.86,10.41,10.79,0.15,1.4098,41439.66,44074.243,57.22,56.89,58.4,55.98,58.02,5.377429,10.6358,-1,11.7,9.58,8.75,1,1,0.014097744360902054,1,0.8024334614013316,0.9666666666666667,1.0,49.999999999928114,42.93162224360002,49.47186501573647,79.6655852706252,1057.620844749541,0.6238993710691823,-1.5551510649990725,1.3181055185820276,11.706495602609541,0.0,216.43,-3.0,0.0011836853003187597,-1045.473830165014,0.0,-0.03849999999999998,-31.422924901185752,-104582.58326395933,-327775.25070672366
000014.SZ,20180227,10.79,10.79,10.79,10.42,10.48,-0.31,-2.873,37262.02,39200.406,58.02,58.02,58.02,56.03,56.36,5.377429,10.5202,-1,11.87,9.71,8.5,1,1,-0.02873030583873948,0,0.7328349624276745,0.9666666666666667,1.0,49.99999999992639,34.98054412641832,46.72302699284577,81.66478734122794,1057.620844749541,0.5894465894465893,-8.118273967447962,-2.3972210264414135,11.64949113631738,0.0,214.22,-5.0,0.04130626714793084,-155.95768847012005,0.0,-0.07849999999999993,-40.585774058577385,-214353.46875737963,-311572.1389996745
