date,High_price,Low_price,Close_price,Open_price,group_volume,group_turnover,trading_session,return,y1,y2,target1,target2,group_time
2023/6/12 9:20,3820.4,3820.4,3820.4,3820.4,0,0,Day_morning,,0,0,0,0,10
2023/6/12 9:30,3826.6,3813,3821.4,3817.8,6776,7764448140,Day_morning,0.00026175269605266394,1,1,1,1,10
2023/6/12 9:40,3823.8,3815.8,3817.6,3822,2804,3213296340,Day_morning,-0.0009944,0,0,1,1,10
2023/6/12 9:50,3825.8,3817.4,3822,3822.8,2445,2802857460,Day_morning,0.0011525565800503124,1,1,0,0,10
2023/6/12 10:00,3828.2,3818,3822.8,3821.4,2597,2978390580,Day_morning,0.00020931449502881172,1,1,1,1,10
2023/6/12 10:10,3831.8,3819.2,3821.6,3826.6,2461,2824541940,Day_morning,-0.000313906,0,0,1,1,10
2023/6/12 10:20,3831,3824.4,3826.6,3831,1877,2155122900,Day_morning,0.0013083525225037196,1,1,0,0,10
2023/6/12 10:30,3831.4,3819.6,3831,3821.6,2410,2764975200,Day_morning,0.0011498458161292024,1,1,1,1,10
2023/6/12 10:40,3824.6,3819.4,3821.4,3823.8,1820,2086781160,Day_morning,-0.002505873,0,0,0,0,10
2023/6/12 10:50,3825,3819.2,3823,3821.8,1420,1628074860,Day_morning,0.00041869471921285317,1,1,1,1,10
2023/6/12 11:00,3824,3817.4,3821.8,3821.8,1224,1403027940,Day_morning,-0.00031389,0,0,0,0,10
2023/6/12 11:10,3824,3820.2,3822.2,3822.8,1232,1412758140,Day_morning,0.00010466272437059665,1,1,1,1,10
2023/6/12 11:20,3826.8,3821,3821.4,3826.6,1594,1829062560,Day_morning,-0.000209304,0,0,1,1,10
2023/6/12 11:30,3826.6,3826.6,3826.6,3826.6,0,0,Day_morning,0.0013607578374417173,1,1,0,0,10
2023/6/12 13:30,3850.4,3840.8,3848.2,3842.6,3296,3802066740,Day_afternoon,0.0056446976428159434,1,1,1,1,10
2023/6/12 13:40,3849.6,3840.4,3842.6,3847.8,2311,2666403180,Day_afternoon,-0.001455226,0,0,1,1,10
2023/6/12 13:50,3853.8,3847,3848,3849.8,2142,2474402580,Day_afternoon,0.00140529849581017,1,1,1,1,10
2023/6/12 14:00,3854.8,3848,3849.2,3852.6,1675,1935520920,Day_afternoon,0.0003118503118502147,1,1,1,1,10
